    BicycleBmxTeal, {x:1.84, y:1.02, z:1.29}
    HummingBird, {x:0.19, y:0.35, z:0.28}
    DeerFemale, {x:0.49, y:1.75, z:1.80}
    CandleShapeC.012, {x:0.17, y:0.19, z:0.18}
    CandleShapeC.006, {x:0.17, y:0.19, z:0.18}
    SpookyTree05, {x:6.06, y:4.77, z:6.56}
    CandleShapeB.003, {x:0.10, y:0.12, z:0.20}
    CandleShapeB.017, {x:0.10, y:0.12, z:0.20}
    Fox02, {x:0.29, y:1.32, z:0.83}
    Vine01, {x:0.65, y:0.39, z:0.28}
    Ghost, {x:1.19, y:1.24, z:2.03}
    Hyena, {x:0.39, y:1.42, z:1.12}
    Bee, {x:0.13, y:0.21, z:0.19}
    SpiderWeb3D, {x:3.10, y:0.29, z:2.07}
    CandleSkullShapeB.026, {x:0.20, y:0.31, z:0.36}
    Panther02, {x:2.04, y:1.01, z:1.20}
    BarrelOpen, {x:0.93, y:0.93, z:1.18}
    Wildebeast, {x:1.04, y:2.75, z:2.07}
    Fox03, {x:0.33, y:1.65, z:0.65}
    Salamander, {x:0.53, y:1.53, z:0.29}
    CandleShapeB.016, {x:0.10, y:0.12, z:0.20}
    CandleShapeB.002, {x:0.10, y:0.12, z:0.20}
    CandleShapeC.007, {x:0.17, y:0.19, z:0.18}
    SpookyTree04, {x:6.06, y:4.77, z:6.56}
    SpookyTree10, {x:6.59, y:5.28, z:6.56}
    CandleShapeC.013, {x:0.17, y:0.19, z:0.18}
    Cockatiel, {x:0.23, y:0.48, z:0.89}
    SpaceTool_E3Drill, {x:0.21, y:0.07, z:0.28}
    SpaceToolToolBox, {x:0.26, y:0.63, z:0.30}
    SpaceTool_ShipFloorTileV1, {x:1.00, y:1.00, z:0.01}
    BenchWoodConcrete, {x:1.83, y:0.66, z:1.15}
    StandingFemale00, {x:0.65, y:0.38, z:1.90}
    LanternRRBrakeLP, {x:0.20, y:0.18, z:0.39}
    BenchMarble, {x:1.84, y:0.54, z:0.45}
    HalloweenTentacles01, {x:13.81, y:7.82, z:14.33}
    LanternKeroseneOldFashioned, {x:0.20, y:0.19, z:0.41}
    LanternPropane, {x:0.25, y:0.25, z:0.49}
    HalloweenPillory, {x:1.27, y:0.14, z:1.89}
    SpaceCrateV1, {x:0.90, y:0.90, z:0.90}
    SeatedFemale00, {x:0.63, y:0.78, z:1.54}
    HalloweenScythe, {x:1.58, y:2.13, z:0.19}
    SpaceCratev2, {x:0.94, y:0.94, z:0.96}
    BenchIronVinyl_Taller, {x:1.99, y:0.75, z:1.07}
    LanternRRBrake, {x:0.19, y:0.16, z:0.27}
    SpaceTool_ComboWrench, {x:0.27, y:0.05, z:0.01}
    SpaceTool_RoughCutter, {x:0.06, y:0.01, z:0.30}
    LFL-whimsical, {x:0.40, y:0.28, z:1.41}
    SpaceTool_SocketHeadCapture, {x:0.49, y:0.66, z:0.10}
    BenchIronVinyl, {x:1.99, y:0.75, z:1.01}
    HalloweenChainsaw, {x:0.40, y:1.14, z:0.40}
    MicrowaveWallMount, {x:0.70, y:0.52, z:0.45}
    SpaceTool_DebrisShieldAid, {x:0.15, y:1.55, z:0.27}
    StackOfSilverBars, {x:0.37, y:0.44, z:0.13}
    CurtainRightBlack, {x:0.87, y:0.08, z:1.98}
    HotAirBalloon, {x:4.80, y:4.80, z:5.67}
    CurtainRightBrightRed, {x:0.87, y:0.08, z:1.98}
    TanTipiHut, {x:5.81, y:5.08, z:6.58}
    Dice, {x:0.04, y:0.04, z:0.04}
    OilDrum, {x:0.63, y:0.63, z:1.10}
    CastleGate, {x:10.92, y:1.67, z:3.30}
    PalmTree, {x:1.07, y:0.55, z:6.05}
    StandardPillowBlack, {x:0.64, y:0.29, z:0.64}
    NeonSignPizzaSlice, {x:0.65, y:0.03, z:0.66}
    TorchAnimated, {x:0.14, y:0.14, z:0.25}
    SilverBar, {x:0.37, y:0.15, z:0.07}
    PirateFlag, {x:0.05, y:0.05, z:1.70}
    CurtainRightRoyalPurple, {x:0.87, y:0.08, z:1.98}
    NeonSignFood, {x:0.81, y:0.01, z:0.30}
    CurtainLeftWhite, {x:0.87, y:0.08, z:1.98}
    VatOfAcid, {x:0.76, y:0.76, z:1.10}
    NeonSignIceCream, {x:0.40, y:0.02, z:0.78}
    GasolinePumpBox, {x:0.75, y:0.75, z:1.70}
    CurtainLeftTeal, {x:0.87, y:0.08, z:1.98}
    Compass, {x:0.12, y:0.03, z:0.15}
    Pencil, {x:0.01, y:0.01, z:0.24}
    CurtainLeftBrightRed, {x:0.87, y:0.08, z:1.98}
    FenceCorner, {x:0.67, y:0.67, z:1.94}
    FirstAidKit, {x:0.32, y:0.09, z:0.27}
    AlarmClock, {x:0.23, y:0.06, z:0.24}
    WindChime, {x:0.20, y:0.20, z:0.06}
    NeonSignOpen, {x:1.03, y:0.02, z:0.47}
    StandardPillowNavy, {x:0.64, y:0.29, z:0.64}
    NeonSignLiveMusic, {x:0.50, y:0.02, z:0.48}
    StackOfGoldBars, {x:0.37, y:0.44, z:0.13}
    SprayCan, {x:0.09, y:0.09, z:0.25}
    WhiteTipiHut, {x:5.86, y:5.19, z:5.68}
    CastleTower, {x:2.50, y:2.50, z:5.36}
    CurtainRightWhite, {x:0.87, y:0.08, z:1.98}
    GasStationMarquee, {x:0.17, y:0.17, z:4.79}
    WroughtIronFence, {x:2.40, y:0.12, z:1.52}
    StandardPillowWhite, {x:0.64, y:0.29, z:0.64}
    EmergencyExitSign, {x:0.31, y:0.25, z:0.25}
    NeonSignTacos, {x:1.04, y:0.01, z:0.30}
    CastleWall, {x:10.92, y:1.67, z:3.30}
    NeonSignCoffee, {x:1.14, y:0.01, z:0.30}
    CurtainRightCandyCane, {x:0.87, y:0.08, z:1.98}
    NeonSignBar, {x:0.63, y:0.01, z:0.30}
    NeonSignNoVacancy, {x:1.51, y:0.01, z:0.64}
    StandardPillowTeal, {x:0.64, y:0.29, z:0.64}
    VinylDisc, {x:0.39, y:0.39, z:0.00}
    CurtainLeftBlack, {x:0.87, y:0.08, z:1.98}
    MedKit, {x:0.35, y:0.10, z:0.26}
    GarbageBag, {x:0.50, y:0.50, z:0.67}
    Torch, {x:0.26, y:0.20, z:0.59}
    CurtainLeftRoyalPurple, {x:0.87, y:0.08, z:1.98}
    NeonSignOpen24Hrs, {x:1.04, y:0.01, z:0.63}
    WroughtIronGates, {x:4.87, y:2.14, z:1.97}
    StandardPillowGreen, {x:0.64, y:0.29, z:0.64}
    CurtainLeftCandyCane, {x:0.87, y:0.08, z:1.98}
    CurtainRightTeal, {x:0.87, y:0.08, z:1.98}
    GoldBar, {x:0.37, y:0.15, z:0.07}
    PileOfChoppedWood, {x:0.69, y:0.62, z:0.40}
    PicnicTable, {x:2.00, y:1.36, z:0.13}
    HandbagsAndPurses01, {x:0.38, y:0.43, z:0.21}
    VelvetWallCurtainsClose, {x:2.67, y:0.27, z:2.65}
    BarFoodAndSnacksBurguer, {x:0.46, y:0.46, z:0.13}
    EletricKeyboard, {x:1.30, y:0.46, z:0.81}
    PokerTable, {x:3.64, y:1.45, z:1.08}
    HandbagsAndPurses00, {x:0.51, y:0.19, z:0.39}
    VelvetWallCurtainsOpen, {x:2.58, y:0.30, z:2.64}
    DancePodium, {x:3.52, y:3.52, z:4.64}
    NeonCeilingTilesNeonLightSclpturesHand, {x:0.71, y:0.02, z:2.04}
    StriperRunway02, {x:5.14, y:7.39, z:4.14}
    BarFoodAndSnacksChickenBreading, {x:0.21, y:0.17, z:0.23}
    StriperRunway01, {x:5.10, y:9.00, z:4.14}
    SurveillanceCameras, {x:0.19, y:0.55, z:0.43}
    BarFoodAndSnacksHotDog, {x:0.46, y:0.46, z:0.10}
    VelvetRopesAndVipAreasVelvetRopeSolo, {x:0.44, y:0.44, z:1.13}
    CheckersAndChessGameCheckers, {x:0.61, y:0.61, z:0.08}
    VelvetRopesAndVipAreasVelvetRopesRope, {x:1.43, y:0.44, z:1.13}
    ConfettiCannons, {x:0.69, y:1.14, z:0.98}
    AirportOverheadGateNumberSign01, {x:1.66, y:0.07, z:3.87}
    SmokingAccesories02, {x:0.16, y:0.24, z:0.48}
    SmokingAccesories03, {x:0.03, y:0.19, z:0.03}
    CommandCenterLikeFurniturekeyboard, {x:0.96, y:0.32, z:0.10}
    CheckersAndChessGameChess, {x:0.61, y:0.61, z:0.19}
    AirportOverheadGateNumberSign00, {x:2.21, y:0.07, z:4.17}
    AirportOverheadGateNumberSign02, {x:1.66, y:0.07, z:3.87}
    CommandCenterLikeControlsSetupJoystick, {x:0.21, y:0.21, z:0.25}
    BarFoodAndSnacksChicken, {x:0.47, y:0.47, z:0.09}
    SmokingAccesories01, {x:0.02, y:0.16, z:0.02}
    SmokingAccesories00, {x:0.07, y:0.19, z:0.06}
    CommandCenterLikeControlsCamera, {x:0.58, y:0.58, z:0.13}
    AirportOverheadGateNumberSign03, {x:1.66, y:0.07, z:3.87}
    StripperTableGlassWCocaineLines, {x:5.63, y:3.41, z:4.69}
    SpaceSuit, {x:1.03, y:1.04, z:2.07}
    CommandCenterLikeFurnitureMonitor00, {x:1.23, y:0.13, z:0.85}
    SmokingAccesories04, {x:0.20, y:0.25, z:0.08}
    StreetLights, {x:0.48, y:0.48, z:3.37}
    SmokingAccesories05, {x:0.25, y:0.25, z:0.08}
    CommandCenterLikeFurnitureMonitor01, {x:1.23, y:0.29, z:0.85}
    AirportOverheadGateNumberSign04, {x:1.66, y:0.07, z:3.87}
    CommandCenterLikeFurnitureTable, {x:3.87, y:1.59, z:1.08}
    TableCenter00, {x:0.64, y:0.36, z:1.18}
    SmokingAccesories07, {x:0.06, y:0.21, z:0.03}
    SmokingAccesories06, {x:0.01, y:0.13, z:0.01}
    TableCenter01, {x:0.33, y:0.38, z:1.12}
    CocktailShakersAndUtensils, {x:0.40, y:0.44, z:0.45}
    ArcadesAndPinball04, {x:1.13, y:1.68, z:2.05}
    CommandCenterLikeFurnitureChair, {x:1.09, y:1.10, z:1.87}
    WallMountedTVs, {x:0.10, y:1.18, z:0.71}
    ArcadesAndPinball05, {x:1.13, y:1.68, z:2.05}
    CommandCenterLikeFurnitureMouse, {x:0.20, y:0.32, z:0.11}
    NeonCeilingTilesNeonLightSclpturesNeonGirl, {x:0.85, y:0.02, z:1.92}
    ArcadesAndPinball02, {x:1.14, y:1.25, z:2.08}
    ArcadesAndPinball03, {x:1.14, y:1.25, z:2.08}
    ArcadesAndPinball01, {x:1.14, y:1.25, z:2.08}
    AirportEscalator, {x:1.86, y:8.40, z:4.39}
    CommandCenterLikeControlsSetup, {x:0.58, y:0.28, z:0.58}
    PianoUpright, {x:2.04, y:1.21, z:1.78}
    TipJar, {x:0.69, y:0.69, z:0.49}
    ArcadesAndPinball00, {x:1.14, y:1.25, z:2.08}
    Arcade Machine Black, {x:1.39, y:1.61, z:2.63}
    GreenCorner, {x:2.00, y:2.00, z:4.00}
    Brick Light, {x:1.00, y:1.00, z:1.00}
    Z Red, {x:0.50, y:0.08, z:0.50}
    Window 2x2 V3 Open V2, {x:1.41, y:1.32, z:1.79}
    Grass, {x:16.00, y:16.00, z:0.02}
    DocksModuleSmall 02, {x:1.83, y:2.01, z:0.98}
    Door 12, {x:0.49, y:0.09, z:1.23}
    Valve, {x:1.10, y:1.10, z:0.91}
    Mines Model 10 M, {x:13.15, y:11.58, z:4.76}
    Grafitti Wall Short E, {x:2.00, y:0.60, z:2.00}
    GreyRoof, {x:4.00, y:4.00, z:0.20}
    Parchement 01, {x:0.13, y:0.15, z:0.46}
    Planet 01, {x:3.22, y:3.23, z:2.82}
    Tnt, {x:0.62, y:0.14, z:0.07}
    BlackRoof 2Edges Small, {x:2.00, y:2.00, z:0.70}
    DocksModuleMedium 01, {x:1.83, y:4.02, z:1.03}
    Plant 3, {x:2.90, y:2.63, z:2.30}
    Vines 01, {x:4.50, y:0.21, z:2.38}
    SandPatchBig 01, {x:4.03, y:3.53, z:0.93}
    PinkTileRoof, {x:4.04, y:4.12, z:1.43}
    OrangeRoof 4Edges, {x:4.00, y:4.00, z:0.70}
    Mail Post 01, {x:0.52, y:0.24, z:1.20}
    HWN20 Tree 07, {x:7.37, y:7.93, z:5.64}
    ScienceContainer 02, {x:1.40, y:1.61, z:2.01}
    Ring Purple Light, {x:2.00, y:2.00, z:0.10}
    Wood Light Plank, {x:1.00, y:1.00, z:1.00}
    Vertical Platform Scifi, {x:2.04, y:2.04, z:0.49}
    HWN20 Candle 18, {x:0.14, y:0.16, z:0.37}
    Green Scifi Button, {x:0.66, y:0.66, z:0.15}
    TurquoiseWindowLarge, {x:2.00, y:0.40, z:4.00}
    LEDGridWall, {x:2.00, y:0.30, z:4.00}
    BeigeRoof, {x:4.00, y:4.00, z:0.20}
    MetalCorner, {x:2.00, y:2.00, z:4.00}
    HWN20 WoodFence 02, {x:0.22, y:3.96, z:1.44}
    BlueRoof 4Edges Small, {x:2.00, y:2.00, z:0.70}
    Wood Planks Broken 4x4M, {x:4.00, y:4.00, z:0.18}
    Chest 01, {x:0.86, y:0.84, z:0.92}
    Log 02, {x:0.79, y:0.86, z:2.17}
    L Blue, {x:0.50, y:0.08, z:0.50}
    M Blue, {x:0.50, y:0.08, z:0.50}
    Grass 02, {x:0.51, y:0.42, z:0.25}
    Sack 02, {x:0.53, y:1.01, z:0.41}
    FloorBaseSand 01, {x:16.00, y:16.00, z:0.02}
    PinkRoof Corner, {x:4.00, y:4.00, z:0.70}
    SpaceShip 03, {x:11.43, y:12.86, z:5.47}
    DarkGreyRoof 2Edges Small, {x:2.00, y:2.00, z:0.70}
    SignA, {x:2.53, y:0.39, z:4.98}
    Deck Train Front, {x:7.02, y:2.19, z:3.72}
    CrystalTotem 01, {x:1.21, y:1.21, z:2.76}
    Flower Yellow, {x:1.00, y:1.00, z:1.00}
    BlackCushion, {x:0.63, y:0.13, z:0.63}
    Factory Building 2, {x:7.36, y:7.36, z:21.57}
    PlainGreyGreenWall, {x:2.00, y:0.40, z:4.00}
    JunglePlant 02, {x:1.57, y:1.26, z:0.46}
    Well, {x:2.58, y:2.42, z:3.00}
    RockLarge 03, {x:3.49, y:2.54, z:2.94}
    Chair 04, {x:0.63, y:0.68, z:1.43}
    Cross Red, {x:1.00, y:1.00, z:1.00}
    Pot, {x:0.59, y:0.60, z:0.41}
    Dirt 04, {x:2.10, y:1.93, z:0.39}
    Arrow Sign, {x:0.00, y:0.00, z:0.00}
    Fence Straight 02, {x:3.11, y:0.11, z:1.09}
    Gem 03, {x:0.32, y:0.45, z:0.14}
    AirVent Exhaust 02, {x:0.31, y:0.66, z:0.07}
    O Red, {x:0.50, y:0.08, z:0.50}
    YellowCorner, {x:2.00, y:2.00, z:4.00}
    RockSand 01, {x:2.68, y:2.86, z:1.40}
    SteamPunk Number 09, {x:0.42, y:0.42, z:0.92}
    GrassPatchLarge 04, {x:5.06, y:5.64, z:0.19}
    GroundFloorSciFi 04, {x:16.00, y:16.00, z:0.02}
    Bomb 01, {x:0.28, y:0.29, z:0.36}
    Window 1x2 V2 Frame, {x:1.42, y:0.35, z:1.82}
    GrassPatchSmall 01, {x:2.00, y:2.00, z:0.06}
    Pipe Emissive, {x:0.72, y:2.86, z:0.72}
    Pillar Quad Full 01, {x:1.02, y:1.02, z:2.99}
    GreenRoof 4Edges Small, {x:2.00, y:2.00, z:0.70}
    Sushi Shelf, {x:0.64, y:1.63, z:4.10}
    Spicesbag 02, {x:0.80, y:0.64, z:0.86}
    Vase 05, {x:0.36, y:0.36, z:0.95}
    Chair Wood 01, {x:0.55, y:0.61, z:1.66}
    HWN20 OpenCoffin, {x:1.79, y:2.73, z:1.11}
    Chest Fantasy, {x:1.40, y:1.10, z:0.28}
    Fruit 2, {x:0.47, y:0.62, z:0.34}
    RedRoof 1Edge, {x:4.00, y:4.00, z:0.70}
    Small Billboard, {x:1.12, y:0.65, z:3.72}
    Fruit 3, {x:0.46, y:0.62, z:0.34}
    Plate 01, {x:0.51, y:0.50, z:0.03}
    ArrowWindow, {x:2.00, y:0.40, z:4.00}
    Rope 01, {x:0.60, y:0.55, z:0.19}
    Vase 04, {x:0.51, y:0.58, z:0.57}
    Cable 4M 04, {x:1.33, y:2.45, z:0.20}
    Stone Pedestal 01, {x:8.00, y:8.00, z:0.35}
    LimeDoorframe, {x:2.00, y:0.30, z:4.00}
    Spicesbag 03, {x:0.81, y:0.69, z:0.87}
    GlassRoof 3Edges Small, {x:2.00, y:2.00, z:0.70}
    Pipe Straight 05M 01, {x:0.35, y:0.35, z:0.75}
    Stones Loght, {x:1.00, y:1.00, z:1.00}
    Drawer 1, {x:0.72, y:0.46, z:0.36}
    Lever 01, {x:0.35, y:0.47, z:1.22}
    GlassFloor, {x:4.00, y:4.00, z:0.01}
    Trunk 01, {x:1.01, y:0.79, z:0.77}
    GrassPatchLarge 05, {x:6.06, y:6.49, z:0.42}
    SteamPunk Number 08, {x:0.45, y:0.46, z:0.92}
    WhiteWindow, {x:2.00, y:0.40, z:4.00}
    Gem 02, {x:0.34, y:0.34, z:0.15}
    CreamRoof 2Edges, {x:4.00, y:4.00, z:0.70}
    Train Track 6 M Jiggle , {x:3.03, y:5.52, z:0.34}
    SandPatchExtraSmall 01, {x:0.94, y:0.82, z:0.23}
    CreamRoof 3Edges, {x:4.00, y:4.00, z:0.70}
    Chair 1, {x:0.66, y:0.73, z:1.17}
    RockLarge 02, {x:1.69, y:3.89, z:1.74}
    JunglePlant 03, {x:1.17, y:1.12, z:1.71}
    NeonLightTube 01, {x:1.71, y:0.14, z:0.13}
    Chair 05, {x:1.81, y:0.97, z:1.32}
    Lambo B, {x:2.66, y:6.34, z:1.54}
    Ornament 04, {x:0.46, y:0.08, z:0.51}
    Solid Water, {x:1.00, y:1.00, z:1.00}
    House 7 M Train Station, {x:7.53, y:9.40, z:7.87}
    Wood Planks Floor Modules 4x4M, {x:4.00, y:4.00, z:0.14}
    Couch 01, {x:1.48, y:1.48, z:2.80}
    Vertical Platform Fantasy Alt, {x:1.42, y:1.42, z:0.56}
    Stadium Light, {x:1.91, y:1.81, z:10.72}
    BathroomTilesCorner, {x:2.03, y:2.03, z:4.00}
    Window 2x2 Broken, {x:1.24, y:0.19, z:1.65}
    FireEscapeStairs, {x:4.04, y:4.12, z:5.17}
    GreyRoof 2Edges Small, {x:2.00, y:2.00, z:0.70}
    Grass 03, {x:0.30, y:0.32, z:0.52}
    Horizontal Platform Genesis, {x:2.00, y:2.00, z:0.83}
    Boulder Arthur, {x:1.25, y:1.35, z:2.85}
    SpaceShip 02, {x:3.51, y:5.06, z:1.93}
    Log 03, {x:0.82, y:0.90, z:2.12}
    PurpleCorner, {x:2.00, y:2.00, z:4.00}
    Train Track 6 M V01, {x:2.44, y:6.00, z:0.34}
    ChairShip 01, {x:1.24, y:1.39, z:2.00}
    FloorHexa 01, {x:2.00, y:1.99, z:0.09}
    HWN20 Candle 19, {x:0.14, y:0.16, z:0.22}
    Starfish 01, {x:0.54, y:0.53, z:0.07}
    Word Human, {x:0.78, y:0.00, z:0.22}
    Map 04, {x:0.71, y:0.67, z:0.12}
    Bonfire 1, {x:1.55, y:1.49, z:2.19}
    MetalRoof 2Edges Small, {x:2.00, y:2.00, z:0.70}
    BeigeFloor, {x:4.00, y:4.00, z:0.01}
    HWN20 Tree 06, {x:6.28, y:2.39, z:8.09}
    Flying Taxi Available, {x:2.80, y:4.98, z:2.47}
    Plant 2, {x:2.49, y:3.12, z:1.41}
    GreyCushion, {x:0.63, y:0.13, z:0.63}
    Fence Black Blue, {x:22.70, y:0.23, z:3.96}
    GreenGreyFloor Small, {x:2.00, y:2.00, z:0.01}
    Wall Stone Large, {x:5.00, y:0.30, z:1.00}
    HWN20 YellowGhost, {x:0.15, y:0.99, z:1.23}
    Window 4x4 V3 Frame, {x:2.36, y:0.35, z:2.28}
    WhiteRoof Corner Small, {x:2.00, y:2.00, z:0.70}
    BlackRoof Corner, {x:4.00, y:4.00, z:0.70}
    Ornament Stone Small 01, {x:0.29, y:0.29, z:0.23}
    Grafitti Wall Short D, {x:2.00, y:0.61, z:2.00}
    OrangeRoof 1Edge, {x:4.00, y:4.00, z:0.70}
    Flag 01, {x:1.59, y:0.33, z:3.26}
    ChineseStatuePig 02, {x:0.68, y:0.86, z:0.87}
    PlantPot 04, {x:0.82, y:0.85, z:1.64}
    Door 11, {x:0.49, y:0.09, z:1.23}
    DocksModuleSmall 01, {x:1.83, y:2.01, z:0.98}
    BeachCorner, {x:2.03, y:2.03, z:4.00}
    Window 4x4 Closed, {x:2.07, y:0.16, z:1.90}
    Garland Curve Yellow, {x:15.03, y:0.59, z:1.08}
    Window 2x2 V3 Open V1, {x:1.74, y:0.60, z:1.80}
    BoatPaddle 01, {x:0.32, y:2.94, z:0.08}
    Wall Clock, {x:1.01, y:0.99, z:0.25}
    WhiteDoorframe, {x:2.00, y:0.30, z:4.00}
    Light Decor10, {x:0.00, y:0.00, z:0.00}
    RoundSofa, {x:7.18, y:5.26, z:1.01}
    GreenRoof 4Edges, {x:4.00, y:4.00, z:0.70}
    Planet 02, {x:3.95, y:3.80, z:4.03}
    DigitalTable 01, {x:5.42, y:5.42, z:0.88}
    Barrel Spilled, {x:1.89, y:0.75, z:0.78}
    Grafitti Wall Short F, {x:2.00, y:0.64, z:2.00}
    GreyDoorframe, {x:2.00, y:0.30, z:4.00}
    PurpleRoof Small, {x:2.00, y:2.00, z:0.20}
    BlackWindowLarge, {x:2.00, y:0.40, z:4.00}
    BlueRoof 3Edges Small, {x:2.00, y:2.00, z:0.70}
    Horizontal Platform Pirates Alt, {x:2.10, y:2.01, z:1.26}
    Door 9, {x:1.00, y:0.17, z:2.30}
    DarkGreyRoof Corner Small, {x:2.00, y:2.00, z:0.70}
    PlainMagnoliaWall, {x:2.00, y:0.40, z:4.00}
    F Red, {x:0.50, y:0.08, z:0.50}
    Vines 02, {x:6.02, y:0.26, z:2.98}
    DocksModuleMedium 02, {x:1.83, y:4.02, z:1.03}
    HWN20 Tree 04, {x:3.70, y:3.18, z:4.89}
    Awning 6M, {x:6.00, y:2.19, z:3.71}
    ScienceContainer 01, {x:0.57, y:0.57, z:0.85}
    PinkWindow, {x:2.00, y:0.40, z:4.00}
    Trash Group, {x:2.09, y:1.36, z:1.25}
    HWN20 WoodFence 01, {x:0.27, y:2.90, z:1.67}
    Vertical Blue Pad, {x:2.00, y:2.00, z:0.10}
    MetalBoltsCorner, {x:2.08, y:2.08, z:4.00}
    Mines Wood Fence1 4M, {x:3.87, y:0.19, z:3.93}
    Soil, {x:1.00, y:1.00, z:1.00}
    Sack 01, {x:0.33, y:0.33, z:0.42}
    SkirtingBoard 04, {x:1.00, y:0.02, z:0.12}
    Grass 01, {x:0.25, y:0.28, z:0.12}
    Drumms, {x:3.03, y:2.29, z:1.92}
    Train Track 6 M V03, {x:2.39, y:6.00, z:0.34}
    Log 01, {x:0.67, y:0.65, z:2.63}
    SignB, {x:2.31, y:1.78, z:2.50}
    Fork 01, {x:0.05, y:0.39, z:0.02}
    Neon Oval Sign, {x:0.68, y:0.02, z:0.74}
    BlackRoof Corner Small, {x:2.00, y:2.00, z:0.70}
    Couch 03, {x:1.44, y:1.49, z:1.11}
    FancyPillar, {x:0.88, y:0.88, z:4.00}
    Window 4x4 V3 Closed, {x:2.35, y:0.35, z:2.28}
    FarmVegetation 04, {x:4.00, y:0.72, z:1.00}
    Concrete Moss, {x:1.00, y:1.00, z:1.00}
    F Blue, {x:0.50, y:0.08, z:0.50}
    InsetPillar, {x:0.58, y:0.58, z:4.00}
    Containers 01, {x:1.04, y:1.04, z:3.54}
    G Blue, {x:0.50, y:0.08, z:0.50}
    MetalRoof Small, {x:2.00, y:2.00, z:0.20}
    S Red, {x:0.50, y:0.08, z:0.50}
    Chair 07, {x:0.97, y:0.85, z:1.56}
    NeonLightTube 03, {x:1.71, y:0.14, z:0.13}
    GreenRoof 3Edges Small, {x:2.00, y:2.00, z:0.70}
    JunglePlant 01, {x:1.70, y:1.64, z:0.70}
    Neon Curve Blue, {x:0.17, y:0.08, z:0.76}
    Chair 3, {x:0.76, y:0.84, z:1.18}
    Factory Building 1, {x:2.14, y:0.39, z:3.25}
    Fence Straight 01, {x:2.00, y:0.10, z:1.09}
    RockSand 02, {x:7.56, y:7.56, z:2.24}
    Light 04, {x:2.00, y:2.00, z:0.18}
    Poster10, {x:1.00, y:0.00, z:1.32}
    AirVent Exhaust 01, {x:0.96, y:0.34, z:0.65}
    Module Stone Straight Door 01, {x:4.00, y:0.85, z:4.00}
    Chest Gear Key, {x:1.08, y:0.39, z:0.09}
    Sofa White, {x:3.10, y:1.23, z:1.15}
    CreamRoof Small, {x:2.00, y:2.00, z:0.20}
    Ceiling 2x2M, {x:2.00, y:2.00, z:0.13}
    White Car, {x:2.59, y:6.07, z:1.79}
    RockFloor Module 4M, {x:4.52, y:4.74, z:0.05}
    Spicesbag 01, {x:0.81, y:0.69, z:0.87}
    Chest Base Gold 01, {x:1.40, y:1.10, z:0.28}
    Fruit 1, {x:0.47, y:0.62, z:0.34}
    ShoreGrass 01, {x:0.64, y:0.75, z:1.13}
    Vase 06, {x:0.93, y:0.74, z:0.75}
    FloorBlock 04, {x:1.97, y:0.05, z:2.00}
    Vase 07, {x:1.42, y:1.14, z:0.54}
    Floor Wood 1M, {x:2.01, y:2.00, z:0.06}
    FloorBlock 05, {x:2.00, y:2.00, z:0.14}
    SpiralStairs, {x:4.02, y:4.02, z:5.08}
    Street Light, {x:2.12, y:0.50, z:4.96}
    Drawer 2, {x:0.62, y:0.46, z:0.32}
    Horizontal Flying Car Blue, {x:2.78, y:4.97, z:2.22}
    FenceWoodEnd 01, {x:0.14, y:0.14, z:1.21}
    ConstructionCone 01, {x:0.46, y:0.46, z:0.65}
    Well 01, {x:1.52, y:1.52, z:2.29}
    WaterPatchCornerInside 01, {x:8.00, y:8.00, z:0.30}
    GlassRoof Corner, {x:4.00, y:4.00, z:0.70}
    Trunk 02, {x:1.01, y:0.80, z:0.78}
    GrassPatchLarge 06, {x:6.44, y:6.30, z:0.20}
    Fence Iron 3M, {x:3.13, y:0.26, z:1.20}
    Dirt Red, {x:1.00, y:1.00, z:1.00}
    Gem 01, {x:0.24, y:0.49, z:0.10}
    PurpleFloor, {x:4.00, y:4.00, z:0.01}
    RockSand 03, {x:3.56, y:4.22, z:2.51}
    Furnit Bar 1 2M, {x:2.00, y:0.78, z:1.23}
    Poster11, {x:1.00, y:0.00, z:1.66}
    WaterPatchFull 01, {x:8.00, y:8.00, z:0.00}
    Railing Semi Circle, {x:17.75, y:10.48, z:0.84}
    Street Entry, {x:5.95, y:0.26, z:5.14}
    GlassRoof 4Edges Small, {x:2.00, y:2.00, z:0.70}
    Speed Bump, {x:7.35, y:1.16, z:0.11}
    Barrel 4, {x:2.31, y:1.02, z:1.23}
    NeonLightTube 02, {x:1.71, y:0.14, z:0.13}
    Chair 06, {x:1.81, y:0.97, z:1.32}
    Chair 2, {x:0.72, y:1.16, z:1.20}
    Mines Model Curve, {x:15.86, y:17.08, z:4.77}
    RockLarge 01, {x:1.98, y:1.74, z:1.58}
    OpenChest 01, {x:1.47, y:0.65, z:0.40}
    AcousticPanelWall, {x:2.00, y:0.36, z:4.00}
    Lambo A, {x:2.65, y:6.34, z:1.54}
    TwoColouredPillar, {x:0.50, y:0.50, z:4.00}
    BonesBig 01, {x:0.19, y:1.03, z:0.09}
    Pipe Curve, {x:0.72, y:1.04, z:1.03}
    Ground Curve 8 M, {x:5.54, y:8.60, z:0.38}
    DarkGreyCushion, {x:0.63, y:0.13, z:0.63}
    SignC, {x:2.31, y:1.77, z:2.50}
    Couch 02, {x:1.35, y:1.35, z:3.76}
    PeachFloor Small, {x:2.00, y:2.00, z:0.01}
